serie,modelo,p,d,q,P,D,Q,AIC,BIC,ljung_box_p,jarque_bera_p
Via_Terrestre,"SARIMA(0,1,1)(1,1,1)[12]",0,1,1,1,1,1,131.48,143.08,0.4585,0.0
Via_Terrestre,"SARIMA(1,1,0)(1,1,1)[12]",1,1,0,1,1,1,131.63,143.22,0.4159,0.0
Via_Terrestre,"SARIMA(2,1,1)(1,1,0)[12]",2,1,1,1,1,0,131.69,146.18,0.5692,0.0
Via_Terrestre,"SARIMA(1,1,1)(0,1,1)[12]",1,1,1,0,1,1,131.97,143.56,0.4982,0.0
Via_Terrestre,"SARIMA(0,1,2)(1,1,0)[12]",0,1,2,1,1,0,132.03,143.62,0.4404,0.0
Via_Terrestre,"SARIMA(1,1,1)(1,1,0)[12]",1,1,1,1,1,0,132.03,143.62,0.4419,0.0
Via_Terrestre,"SARIMA(0,1,2)(0,1,1)[12]",0,1,2,0,1,1,132.06,143.65,0.4687,0.0
Via_Terrestre,"SARIMA(2,1,0)(1,1,0)[12]",2,1,0,1,1,0,132.06,143.65,0.4142,0.0
Via_Terrestre,"SARIMA(2,1,1)(0,1,1)[12]",2,1,1,0,1,1,132.06,146.55,0.569,0.0
Via_Terrestre,"SARIMA(2,1,0)(0,1,1)[12]",2,1,0,0,1,1,132.17,143.77,0.4342,0.0
Via_Terrestre,"SARIMA(1,1,2)(0,1,1)[12]",1,1,2,0,1,1,132.19,146.68,0.5779,0.0
Via_Terrestre,"SARIMA(0,1,0)(1,1,0)[12]",0,1,0,1,1,0,132.24,138.03,0.1852,0.0
Via_Terrestre,"SARIMA(0,1,0)(0,1,1)[12]",0,1,0,0,1,1,132.27,138.07,0.1944,0.0
Via_Terrestre,"SARIMA(1,1,1)(1,1,1)[12]",1,1,1,1,1,1,133.37,147.86,0.4999,0.0
Via_Terrestre,"SARIMA(2,1,1)(1,1,1)[12]",2,1,1,1,1,1,133.45,150.84,0.5726,0.0
Via_Terrestre,"SARIMA(0,1,2)(1,1,1)[12]",0,1,2,1,1,1,133.46,147.95,0.4733,0.0
